Cage,Strain,Sex,Genotype,DOB,ID,Tail mark,Group,Diet,Date put on diet,Bas or Ins,Cull code
114162,BXH9,M,wt,22/01/2022,403132,0,BXH9 group 1,HFD,44685,bas,4C
114162,BXH9,M,wt,22/01/2022,403133,1,BXH9 group 1,HFD,44685,ins,4D
114170,CAST,M,wt,29/01/2022,403166,0,CAST group 4,HFD,44685,bas,4E
114170,CAST,M,wt,29/01/2022,403167,1,CAST group 4,HFD,44685,ins,4F
114170,CAST,M,wt,29/01/2022,403168,2,CAST group 4,HFD,44685,bas,4G
114170,CAST,M,wt,29/01/2022,403169,3,CAST group 4,HFD,44685,ins,4H
114171,CAST,M,wt,30/01/2022,403171,1,CAST group 4,HFD,44691,ins,4J
115669,CAST,M,wt,30/01/2022,403172,2,CAST group 4,CHOW,44691,ins,5A
115669,CAST,M,wt,30/01/2022,403173,3,CAST group 4,CHOW,44691,bas,5B
115669,CAST,M,wt,30/01/2022,403174,4,CAST group 4,CHOW,44691,ins,5C
114117,C57Bl6J,M,wt,44775,402931,0,B6 group 1,HFD,44691,bas,5D
114117,C57Bl6J,M,wt,44775,402932,1,B6 group 1,HFD,44691,ins,5E
115667,C57Bl6J,M,wt,44775,402933,2,B6 group 1,CHOW,44691,bas,5F
114118,C57Bl6J,M,wt,44775,402935,0,B6 group 1,HFD,44691,bas,5H
114118,C57Bl6J,M,wt,44775,402936,1,B6 group 1,HFD,44691,ins,5I
114118,C57Bl6J,M,wt,44775,402937,2,B6 group 1,HFD,44691,bas,5J
114118,C57Bl6J,M,wt,44775,402938,3,B6 group 1,HFD,44691,ins,6A
114119,C57Bl6J,M,wt,44775,402940,1,B6 group 1,CHOW,44691,ins,6B
114119,C57Bl6J,M,wt,44775,402941,2,B6 group 1,CHOW,44691,bas,6C
114119,C57Bl6J,M,wt,44775,402942,3,B6 group 1,CHOW,44691,ins,6D
114156,BXD34,M,wt,17/01/2022,403120,0,BXD34 group 2,HFD,44692,bas,6E
114156,BXD34,M,wt,17/01/2022,403121,1,BXD34 group 2,HFD,44692,ins,6F
114156,BXD34,M,wt,17/01/2022,403122,2,BXD34 group 2,HFD,44692,bas,6G
114157,BXD34,M,wt,44867,403123,0,BXD34 group 2,CHOW,44692,bas,6H
114157,BXD34,M,wt,44867,403124,1,BXD34 group 2,CHOW,44692,ins,6I
114157,BXD34,M,wt,44867,403125,2,BXD34 group 2,CHOW,44692,bas,6J
114161,BXH9,M,wt,44836,403138,0,BXH9 group 1,CHOW,44692,ins,7A
114161,BXH9,M,wt,44836,403139,1,BXH9 group 1,CHOW,44692,bas,7B
114161,BXH9,M,wt,44836,403140,2,BXH9 group 1,CHOW,44692,ins,7C
114691,BXH9,M,wt,44836,403141,3,BXH9 group 1,HFD,44692,bas,7D
114691,BXH9,M,wt,44836,403142,4,BXH9 group 1,HFD,44692,ins,7E
114158,BXD34,M,wt,44867,403126,0,BXD34,CHOW,44698,ins,7F
114158,BXD34,M,wt,44867,403127,3,BXD34,CHOW,44698,bas,7G
114158,BXD34,M,wt,44867,403128,4,BXD34,CHOW,44698,ins,7H
114663,NOD,M,wt,23/02/2022,405041,0,NOD,HFD,44698,bas,7I
114663,NOD,M,wt,23/02/2022,405042,1,NOD,HFD,44698,ins,7J
115810,NOD,M,wt,23/02/2022,405043,2,NOD,CHOW,44698,bas,8A
115810,NOD,M,wt,23/02/2022,405044,3,NOD,CHOW,44698,ins,8B
114664,NOD,M,wt,23/02/2022,405045,0,NOD,HFD,44698,bas,8C
114664,NOD,M,wt,23/02/2022,405046,1,NOD,HFD,44698,ins,8D
115811,NOD,M,wt,23/02/2022,405047,2,NOD,CHOW,44698,bas,8E
115811,NOD,M,wt,23/02/2022,405048,3,NOD,CHOW,44698,ins,8F
114665,NOD,M,wt,23/02/2022,405049,0,NOD,HFD,44698,bas,8G
114665,NOD,M,wt,23/02/2022,405050,1,NOD,HFD,44698,ins,8H
115812,NOD,M,wt,23/02/2022,405051,2,NOD,CHOW,44698,bas,8I
115812,NOD,M,wt,23/02/2022,405052,3,NOD,CHOW,44698,ins,8J
114952,BXH9,M,wt,22/02/2022,406164,0,BXH9,HFD,44705,ins,9A
114952,BXH9,M,wt,22/02/2022,406165,1,BXH9,HFD,44705,ins,9B
114952,BXH9,M,wt,22/02/2022,406166,2,BXH9,HFD,44705,bas,9C
114661,NOD,M,wt,23/02/2022,405041,0,NOD,HFD,44705,bas,9D
114661,NOD,M,wt,23/02/2022,405042,1,NOD,HFD,44705,ins,9E
115903,NOD,M,wt,23/02/2022,405043,2,NOD,CHOW,44705,bas,9F
115903,NOD,M,wt,23/02/2022,405044,3,NOD,CHOW,44705,ins,9G
114662,NOD,M,wt,23/02/2022,405045,0,NOD,HFD,44705,bas,9H
114662,NOD,M,wt,23/02/2022,405046,1,NOD,HFD,44705,ins,9I
115904,NOD,M,wt,23/02/2022,405047,2,NOD,CHOW,44705,bas,9J
115904,NOD,M,wt,23/02/2022,405048,3,NOD,CHOW,44705,ins,10A
114949,BXD34,M,wt,44564,406155,0,BXD34,HFD,44705,ins,10B
114949,BXD34,M,wt,44564,406156,1,BXD34,HFD,44705,bas,10C
114949,BXD34,M,wt,44564,406157,2,BXD34,HFD,44705,ins,10D
115905,BXD34,M,wt,44564,406158,3,BXD34,CHOW,44705,bas,10E
115905,BXD34,M,wt,44564,406159,4,BXD34,CHOW,44705,ins,10F
